Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-07-04 18:06:40,false,Tarrytown Running,5.63,641,38:54,--,--,0,164,176,6:54,6:10,453,452,1.43,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-03 18:28:46,false,Tarrytown Running,6.05,686,44:12,--,--,0,160,170,7:19,6:21,533,539,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-03 18:11:13,false,Tarrytown Running,1.32,149,10:02,--,--,0,158,168,7:36,6:59,74,77,1.34,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-30 17:25:57,false,Tarrytown Running,6.02,676,42:57,--,--,0,162,173,7:08,6:12,466,465,1.39,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-30 17:08:18,false,Tarrytown Running,1.31,145,9:43.1,--,--,0,159,176,7:26,6:44,43,36,1.36,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-29 17:28:27,false,Tarrytown Running,4.92,548,35:14,--,--,0,163,177,7:09,5:44,270,263,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-29 17:11:12,false,Running,1.33,153,10:20,--,--,0,157,166,7:45,7:03,--,--,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-27 17:28:46,false,Tarrytown Running,4.73,518,35:01,--,--,0,161,220,7:24,6:02,317,315,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-27 17:10:06,false,Running,1.26,144,9:46.4,--,--,0,156,164,7:47,7:18,--,--,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-26 17:24:48,false,Tarrytown Running,4.92,547,35:32,--,--,0,162,174,7:14,6:25,358,349,1.37,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-26 17:07:07,false,Tarrytown Running,1.21,141,9:45.1,--,--,0,157,164,8:03,6:47,--,4,1.28,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-23 12:16:14,false,Pound Ridge Running,3.05,340,22:19,--,--,0,158,166,7:18,6:46,65,48,1.39,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-20 09:07:00,false,Millwood Running,6.01,677,43:35,--,--,0,161,168,7:15,6:28,237,240,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-17 09:05:23,false,Tarrytown Running,5.83,663,43:28,--,--,0,161,168,7:28,6:28,353,344,1.34,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-01 14:51:54,false,Chappaqua Running,2.01,228,14:14,--,--,0,162,172,7:05,5:55,44,32,1.4,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-30 15:41:07,false,Chappaqua Running,4.31,486,32:02,--,--,0,162,179,7:26,6:42,319,319,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-30 15:18:11,false,Chappaqua Running,0.88,98,6:41.7,--,--,0,161,168,7:34,6:40,23,18,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-27 10:24:52,false,Mount Kisco Running,3.41,388,28:06,--,--,0,159,170,8:15,6:22,225,243,1.22,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-23 15:06:52,false,Chappaqua Running,5.01,556,35:43,--,--,0,162,176,7:08,5:49,312,314,1.39,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:18:44,false,Pleasantville Running,0.26,23,1:07.9,--,--,0,192,206,4:23,4:04,--,8,1.91,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:13:53,false,Pleasantville Running,0.51,50,2:23.3,--,--,0,189,199,4:39,4:24,--,10,1.83,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:11:33,false,Pleasantville Running,0.25,23,1:09.5,--,--,0,192,202,4:33,3:57,--,12,1.84,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:00:22,false,Pleasantville Running,0.25,23,1:08.9,--,--,0,192,204,4:31,4:03,--,5,1.85,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 15:55:40,false,Pleasantville Running,0.52,50,2:21.3,--,--,0,189,197,4:31,4:05,--,7,1.89,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 15:53:25,false,Pleasantville Running,0.25,24,1:12.6,--,--,0,187,196,4:46,4:17,--,6,1.8,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-20 13:17:48,false,Armonk Running,0.84,95,7:08.3,--,--,0,156,171,8:28,5:16,39,37,1.22,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-18 15:36:57,false,Chappaqua Running,3.3,366,23:15,--,--,0,161,179,7:03,5:40,190,172,1.42,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-18 15:16:08,false,Chappaqua Running,0.94,105,7:45.6,--,--,0,157,164,8:16,6:48,23,22,1.24,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-15 15:41:05,false,Chappaqua Running,6.42,719,46:49,--,--,0,162,249,7:18,5:23,359,358,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-12 14:48:22,false,West Harrison Running,4.18,476,32:28,--,--,0,161,230,7:46,6:30,354,347,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-09 15:35:42,false,Chappaqua Running,7.34,824,55:09,--,--,0,164,227,7:31,6:01,494,484,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-09 15:19:17,false,Chappaqua Running,0.7,79,5:00.6,--,--,0,165,180,7:07,6:18,20,21,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-08 16:23:24,false,Pleasantville Running,0.99,112,7:59.8,--,--,0,161,170,8:06,7:35,23,--,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-08 15:54:27,false,Pleasantville Running,2.24,203,26:14,--,--,0,171,206,11:44,2:43,10,12,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-08 15:38:07,false,Pleasantville Running,0.49,55,3:27.2,--,--,0,164,170,7:01,6:28,--,--,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-08 15:26:21,false,Running,0.54,60,3:26.9,--,--,0,166,172,6:26,5:46,--,--,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-05 15:12:20,false,Chappaqua Running,2.44,278,18:53,--,--,0,160,175,7:44,5:44,228,234,0,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-03 16:45:43,false,Pleasantville Running,1.02,113,7:39.0,--,--,0,164,170,7:31,6:53,--,15,1.3,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-03 16:13:05,false,Pleasantville Running,3.62,376,24:19,--,--,0,167,213,6:43,3:41,23,32,1.43,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-02 16:39:23,false,Running,2.46,281,18:02,--,--,0,162,175,7:19,5:57,--,--,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-01 15:29:10,false,Chappaqua Running,8.74,981,1:02:20,--,--,0,164,211,7:08,5:50,473,472,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-29 14:32:38,false,West Nyack Running,0.77,88,6:12.5,--,--,0,159,170,8:05,7:06,59,64,1.25,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-28 15:02:21,false,Chappaqua Running,3.01,341,22:20,--,--,0,163,171,7:26,6:02,45,49,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-27 15:39:49,false,Chappaqua Running,7.79,886,58:16,--,--,0,163,176,7:29,6:07,348,344,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-27 15:16:47,false,Chappaqua Running,0.83,94,6:34.1,--,--,0,160,168,7:52,6:55,24,21,1.28,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-26 17:08:45,false,Ossining Running,0.33,21,4:02.5,--,--,0,162,239,12:15,3:01,--,--,0.81,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-26 16:49:20,false,Ossining Running,2.73,303,17:13,--,--,0,171,184,6:19,5:05,12,7,1.49,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-04-26 16:43:23,false,Ossining Running,0.9,98,5:36.6,--,--,0,174,180,6:16,5:34,--,7,1.48,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-08 15:19:50,false,Running,0.77,83,5:28.6,--,--,0,165,172,7:07,6:15,--,--,1.37,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-06 15:40:32,false,Chappaqua Running,5.79,624,47:31,--,--,0,164,176,8:12,5:22,387,379,1.2,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-06 15:20:26,false,Running,0.75,80,5:06.7,--,--,0,165,170,6:48,6:12,--,--,1.44,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:13:46,false,Chappaqua Running,0.07,4,0:13.4,--,--,0,192,219,3:08,3:08,--,--,2.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:12:30,false,Chappaqua Running,0.07,4,0:13.5,--,--,0,176,231,3:13,3:06,--,--,2.85,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:11:21,false,Chappaqua Running,0.07,4,0:13.2,--,--,0,143,233,3:16,3:01,--,--,3.44,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:10:09,false,Chappaqua Running,0.07,4,0:13.5,--,--,0,181,226,3:24,3:14,--,--,2.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:08:58,false,Chappaqua Running,0.07,4,0:13.4,--,--,0,190,231,3:19,3:08,--,--,2.56,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:07:46,false,Chappaqua Running,0.07,4,0:13.8,--,--,0,179,231,3:17,3:11,--,--,2.73,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 16:06:35,false,Chappaqua Running,0.07,4,0:14.0,--,--,0,164,211,3:31,3:24,--,--,2.79,0,0,--,--,--,--,0,--,--,--,--,--,--
